,X,A2,A3,A5,A7,A8,B3,Age,B7,B9,B11,B12,C2,C12,E2_9group,E4_21group,E6,E7,E9,E10,E13,E13_1,E14_1,E14_2,E14_Result,E16,E17,E22,E23,E24,G1_1,G1_2,Weights_1,WeightsCalib_1,Weights_Year,WeightsCalib_Year,resident,nonresident,LR_WAP,LF,PNLF,empj,underemployed,iempj,emsj,iemsj,LU1_unemployed,LU2_combined,LU3_potential,LU4_composite,long_term_unemployed
244,244,3,5,1,7,5,1,31,7,2,2,5,1,1,5,7,2,4,1,3,1,1,150000,0,1,4,2,1,7,1,70,0,150.830264672037,195.507146966529,38.8509648160773,47.9035641123037,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,249,8,5,1,6,5,1,36,7,2,1,5,1,1,5,7,2,4,1,3,1,1,1E+05,0,1,4,1,1,7,1,60,0,150.830264672037,195.507146966529,38.8509648160773,47.9035641123037,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,254,11,5,1,6,4,1,51,5,2,2,5,1,1,6,1,2,4,3,3,1,2,0,10000,2,4,1,1,7,2,30,0,150.830264672037,195.507146966529,38.8509648160773,47.9035641123037,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
255,255,11,5,1,6,4,2,49,7,2,2,5,1,1,6,1,2,4,3,3,1,2,0,10000,2,4,2,1,7,2,20,0,150.830264672037,195.507146966529,38.8509648160773,47.9035641123037,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
257,257,1,5,1,2,2,1,57,7,2,2,5,1,1,7,7,3,4,3,3,1,1,1E+05,0,1,4,1,1,7,1,40,0,203.501150747986,296.307908101073,52.417968402644,85.8151835465615,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
258,258,1,5,1,2,2,2,55,7,2,2,5,1,1,5,7,2,4,1,3,1,1,70000,0,1,4,1,1,7,1,70,0,203.501150747986,296.307908101073,52.417968402644,85.8151835465615,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,278,3,5,2,6,5,1,53,5,2,2,5,1,1,6,1,1,4,4,3,1,2,0,9000,2,4,1,1,7,2,25,0,1210.68714733542,1437.87519055701,295.53810835629,387.131578715464,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
279,279,3,5,2,6,5,2,40,5,2,2,5,1,1,6,1,1,4,3,3,1,2,0,9000,2,4,1,1,7,2,20,0,1210.68714733542,1437.87519055701,295.53810835629,387.131578715464,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
283,283,10,5,2,7,5,1,24,5,2,1,5,1,1,5,19,2,4,1,3,1,1,50000,0,1,4,1,1,7,1,60,0,1210.68714733542,1437.87519055701,295.53810835629,387.131578715464,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,287,5,6,1,3,3,1,52,5,2,2,5,1,1,8,8,2,4,1,3,1,1,1E+05,0,1,4,1,1,7,1,40,0,434.550098386462,43.46,105.909551305415,10.5999999999904,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,291,7,6,1,9,5,1,31,5,2,2,5,1,1,5,7,2,4,1,3,1,2,220000,0,1,4,1,1,7,1,42,0,434.550098386462,43.46,105.909551305415,10.5999999999904,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,313,3,6,2,5,5,2,71,4,2,3,5,1,1,6,1,1,4,3,3,1,3,180000,65000,5,5,1,1,7,1,40,0,375.108538350217,202.642175335421,89.5336787564767,64.8740861406168,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
316,316,4,6,2,6,5,1,56,6,2,2,5,1,1,6,1,1,4,3,3,1,3,2E+05,60000,5,4,1,1,7,1,40,0,375.108538350217,202.642175335421,89.5336787564767,64.8740861406168,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
320,320,8,6,2,2,2,2,51,7,2,3,5,1,1,6,1,1,4,3,3,1,2,65000,0,1,5,2,1,7,1,40,0,375.108538350217,202.642175335421,89.5336787564767,64.8740861406168,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
335,335,7,6,2,4,4,2,37,5,2,2,5,1,1,5,19,1,4,3,3,1,1,50000,0,1,4,1,1,7,2,16,0,337.597684515195,143.319155018353,80.580310880829,47.2199091452958,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
344,344,1,6,2,3,3,1,58,7,2,2,5,1,1,6,1,1,4,3,3,1,3,90000,0,1,4,1,1,7,2,24,0,279.247467438495,484.505508480611,66.6528497409326,121.800153686509,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
345,345,1,6,2,3,3,2,56,5,2,2,5,1,1,6,1,1,4,3,3,1,3,0,10000,2,4,1,1,7,2,12,0,279.247467438495,484.505508480611,66.6528497409326,121.800153686509,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
373,373,6,7,1,3,3,2,35,5,3,3,5,1,1,7,3,2,4,3,3,1,1,15000,0,1,4,1,1,5,2,20,0,293.287348002316,455.433954263103,79.544139298404,120.027060099965,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
403,403,3,7,2,5,4,1,46,5,2,2,5,1,1,8,8,3,4,3,3,1,1,60000,0,1,4,1,1,7,1,70,0,295.939692197566,451.244018251301,70.8804166130899,128.605036944233,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
416,416,3,7,2,4,3,1,50,5,2,2,5,1,1,9,6,2,4,3,3,1,3,1E+05,0,1,4,1,2,7,1,48,0,431.369720830351,226.716078858518,103.317217436029,95.1594009266764,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
430,430,1,8,2,7,5,1,54,10,2,2,3,1,1,6,1,1,4,3,3,1,2,170000,0,1,4,1,1,7,1,40,0,406.341613316261,785.459695402475,107.73059949759,200.971772008605,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
